id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
476,Listing 476,5259,Host39,Manhattan,SoHo,40.6686,-74.01696,Entire home/apt,211.54,1,19,2023-06-15,2.77,8,290
477,Listing 477,4718,Host22,Brooklyn,Park Slope,40.66565,-73.80575,Private room,117.13,1,24,2023-06-15,0.71,9,232
478,Listing 478,9536,Host152,Bronx,Fordham,40.86241,-73.86044,Private room,70.95,2,16,2023-06-15,1.2,8,32
479,Listing 479,7009,Host363,Queens,Astoria,40.5425,-73.98921,Entire home/apt,152.74,3,23,2023-06-15,5.77,7,36
480,Listing 480,2075,Host91,Queens,Flushing,40.7535,-74.00082,Entire home/apt,145.04,2,21,2023-06-15,0.7,1,63
481,Listing 481,3423,Host392,Queens,Astoria,40.62584,-73.87077,Private room,75.46,7,10,2023-06-15,2.33,1,78
482,Listing 482,9593,Host463,Manhattan,Chelsea,40.70205,-73.70407,Private room,147.09,2,11,2023-06-15,0.69,5,209
483,Listing 483,1393,Host184,Manhattan,Harlem,40.69632,-74.02356,Entire home/apt,297.53,2,22,2023-06-15,3.71,6,45
484,Listing 484,3738,Host334,Brooklyn,Bedford-Stuyvesant,40.73811,-73.86128,Private room,123.55,7,20,2023-06-15,0.96,2,241
485,Listing 485,9101,Host212,Staten Island,St. George,40.63892,-73.95717,Entire home/apt,205.3,3,30,2023-06-15,2.0,2,44
486,Listing 486,3224,Host228,Brooklyn,Park Slope,40.79052,-73.97311,Entire home/apt,168.16,2,24,2023-06-15,1.26,4,356
487,Listing 487,7642,Host320,Brooklyn,Bedford-Stuyvesant,40.50402,-73.98181,Entire home/apt,178.87,2,30,2023-06-15,0.66,1,236
488,Listing 488,1292,Host116,Manhattan,Chelsea,40.64873,-74.04096,Entire home/apt,194.19,1,24,2023-06-15,0.1,8,10
489,Listing 489,2558,Host83,Manhattan,SoHo,40.77327,-74.03168,Private room,140.98,3,25,2023-06-15,0.85,2,358
490,Listing 490,1028,Host194,Staten Island,St. George,40.88391,-73.81334,Private room,63.91,7,23,2023-06-15,0.1,8,76
491,Listing 491,1325,Host363,Queens,Astoria,40.85531,-73.88902,Private room,66.28,2,33,2023-06-15,0.82,9,224
492,Listing 492,1091,Host139,Brooklyn,Park Slope,40.63364,-73.86736,Entire home/apt,160.54,2,23,2023-06-15,0.07,4,308
493,Listing 493,2699,Host6,Brooklyn,Williamsburg,40.77881,-73.85396,Entire home/apt,123.05,1,19,2023-06-15,0.01,8,227
494,Listing 494,8951,Host120,Brooklyn,Bushwick,40.60827,-73.92033,Private room,107.74,2,23,2023-06-15,1.33,1,90
495,Listing 495,9002,Host239,Brooklyn,Williamsburg,40.7465,-73.88099,Entire home/apt,159.88,1,27,2023-06-15,1.76,1,295
496,Listing 496,5543,Host203,Brooklyn,Williamsburg,40.70805,-73.88385,Private room,155.05,1,24,2023-06-15,0.11,9,236
497,Listing 497,8292,Host79,Manhattan,Harlem,40.70068,-73.79609,Entire home/apt,200.23,1,19,2023-06-15,0.93,4,203
498,Listing 498,1550,Host455,Manhattan,Upper West Side,40.66481,-74.00156,Private room,160.69,3,20,2023-06-15,0.49,7,252
499,Listing 499,2079,Host319,Manhattan,Upper West Side,40.69901,-73.95792,Private room,155.53,3,19,2023-06-15,0.69,9,87
500,Listing 500,8833,Host327,Brooklyn,Bedford-Stuyvesant,40.62823,-74.00276,Entire home/apt,113.98,1,21,2023-06-15,0.51,4,60
501,Listing 501,1864,Host280,Queens,Long Island City,40.82308,-73.96378,Private room,123.09,1,22,2023-06-15,0.97,6,237
502,Listing 502,2834,Host29,Queens,Long Island City,40.77765,-74.04436,Private room,52.57,1,18,2023-06-15,0.09,3,55
503,Listing 503,1307,Host91,Brooklyn,Bushwick,40.62111,-73.88923,Entire home/apt,231.95,5,28,2023-06-15,1.3,8,44
504,Listing 504,1145,Host204,Manhattan,Harlem,40.55218,-74.0456,Entire home/apt,252.27,1,23,2023-06-15,0.76,1,36
505,Listing 505,9572,Host161,Queens,Flushing,40.84311,-73.88406,Entire home/apt,91.3,1,15,2023-06-15,1.48,2,252
506,Listing 506,2490,Host201,Manhattan,Chelsea,40.72807,-73.74835,Entire home/apt,241.54,2,19,2023-06-15,0.98,9,214
507,Listing 507,4262,Host9,Manhattan,SoHo,40.61474,-73.95184,Shared room,64.17,1,15,2023-06-15,1.89,4,244
508,Listing 508,8764,Host28,Queens,Flushing,40.82267,-74.03255,Entire home/apt,106.57,2,24,2023-06-15,0.02,2,9
509,Listing 509,7331,Host317,Manhattan,Chelsea,40.66001,-73.77758,Entire home/apt,320.52,7,26,2023-06-15,0.63,6,339
510,Listing 510,9974,Host241,Manhattan,Harlem,40.60186,-73.70063,Private room,180.78,1,14,2023-06-15,1.04,3,316
511,Listing 511,7853,Host30,Brooklyn,Park Slope,40.5218,-73.81672,Private room,46.37,5,20,2023-06-15,0.92,9,264
512,Listing 512,4349,Host326,Queens,Flushing,40.59364,-74.02903,Private room,81.6,2,17,2023-06-15,0.59,8,329
513,Listing 513,9490,Host276,Bronx,Riverdale,40.73424,-73.84303,Entire home/apt,103.41,3,23,2023-06-15,0.48,7,67
514,Listing 514,7745,Host111,Brooklyn,Bushwick,40.8726,-73.73206,Entire home/apt,140.31,3,22,2023-06-15,2.88,7,153
515,Listing 515,3070,Host47,Manhattan,Harlem,40.65714,-73.98712,Shared room,83.49,2,31,2023-06-15,0.1,5,181
516,Listing 516,4167,Host438,Manhattan,SoHo,40.80751,-73.95704,Entire home/apt,201.5,3,16,2023-06-15,0.75,6,44
517,Listing 517,6393,Host20,Queens,Long Island City,40.65343,-73.87789,Entire home/apt,160.54,5,24,2023-06-15,0.46,9,252
518,Listing 518,1002,Host451,Manhattan,Upper West Side,40.80611,-73.92531,Private room,131.36,1,24,2023-06-15,2.8,5,138
519,Listing 519,3731,Host424,Bronx,Fordham,40.53955,-73.76574,Entire home/apt,74.39,5,26,2023-06-15,1.28,4,75
520,Listing 520,9297,Host333,Manhattan,Upper West Side,40.70464,-73.99438,Private room,89.95,1,19,2023-06-15,1.01,2,265
521,Listing 521,8251,Host143,Queens,Astoria,40.72653,-73.78285,Private room,86.82,1,20,2023-06-15,0.01,4,15
522,Listing 522,3110,Host446,Brooklyn,Park Slope,40.88239,-73.86403,Private room,130.55,1,30,2023-06-15,0.42,7,205
523,Listing 523,9749,Host64,Bronx,Fordham,40.52427,-73.90533,Private room,20.0,2,19,2023-06-15,2.11,6,87
524,Listing 524,1032,Host328,Manhattan,Chelsea,40.64108,-73.936,Entire home/apt,228.53,2,26,2023-06-15,1.96,6,175
525,Listing 525,9529,Host67,Queens,Astoria,40.7823,-73.76271,Entire home/apt,114.42,1,22,2023-06-15,0.55,3,56
526,Listing 526,3916,Host375,Manhattan,SoHo,40.5965,-73.97712,Entire home/apt,228.33,1,24,2023-06-15,0.26,7,250
527,Listing 527,6310,Host51,Queens,Astoria,40.81706,-73.83867,Private room,101.26,2,18,2023-06-15,1.32,4,147
528,Listing 528,8819,Host190,Brooklyn,Williamsburg,40.60599,-73.89298,Entire home/apt,135.01,2,22,2023-06-15,0.6,9,125
529,Listing 529,9808,Host483,Bronx,Fordham,40.6871,-73.95452,Entire home/apt,88.46,2,26,2023-06-15,0.97,9,206
530,Listing 530,2244,Host152,Brooklyn,Bedford-Stuyvesant,40.68002,-73.93176,Entire home/apt,110.96,1,20,2023-06-15,0.02,5,361
531,Listing 531,2695,Host372,Queens,Long Island City,40.67311,-73.88054,Private room,136.99,2,22,2023-06-15,0.11,9,51
532,Listing 532,2789,Host477,Queens,Astoria,40.51746,-73.96718,Entire home/apt,139.15,5,31,2023-06-15,0.36,7,57
533,Listing 533,6873,Host299,Brooklyn,Bushwick,40.57651,-73.86901,Private room,162.29,7,24,2023-06-15,1.42,7,108
534,Listing 534,5537,Host218,Manhattan,Upper West Side,40.6928,-74.02534,Private room,110.27,1,18,2023-06-15,0.4,8,325
535,Listing 535,2800,Host287,Brooklyn,Park Slope,40.76762,-74.0058,Entire home/apt,193.49,7,14,2023-06-15,0.37,9,162
536,Listing 536,5460,Host469,Brooklyn,Bedford-Stuyvesant,40.74713,-73.78051,Entire home/apt,184.92,1,17,2023-06-15,0.88,6,243
537,Listing 537,5018,Host73,Manhattan,Upper West Side,40.74441,-73.83153,Private room,205.9,1,24,2023-06-15,2.82,3,274
538,Listing 538,7681,Host173,Queens,Flushing,40.89667,-73.78035,Entire home/apt,74.63,1,20,2023-06-15,0.63,4,329
539,Listing 539,9903,Host99,Brooklyn,Park Slope,40.54522,-73.7849,Private room,99.04,3,17,2023-06-15,0.75,6,113
540,Listing 540,6769,Host102,Brooklyn,Park Slope,40.54504,-73.7231,Entire home/apt,73.47,1,16,2023-06-15,0.58,7,22
541,Listing 541,1324,Host313,Manhattan,Upper West Side,40.54047,-74.04603,Private room,124.14,2,21,2023-06-15,0.5,1,348
542,Listing 542,3107,Host249,Queens,Flushing,40.74527,-73.74592,Entire home/apt,131.21,3,19,2023-06-15,2.83,7,355
543,Listing 543,5302,Host282,Brooklyn,Park Slope,40.56765,-73.93714,Private room,96.27,2,22,2023-06-15,0.35,8,110
544,Listing 544,9330,Host459,Staten Island,St. George,40.57617,-73.81552,Entire home/apt,76.57,1,24,2023-06-15,0.26,2,127
545,Listing 545,1256,Host65,Manhattan,Harlem,40.74241,-73.85039,Entire home/apt,201.65,1,14,2023-06-15,0.28,9,47
546,Listing 546,7411,Host69,Manhattan,SoHo,40.88475,-73.85841,Private room,210.59,1,22,2023-06-15,2.71,3,315
547,Listing 547,5515,Host61,Manhattan,Chelsea,40.8551,-74.0358,Private room,127.17,7,25,2023-06-15,1.87,2,292
548,Listing 548,7282,Host247,Staten Island,St. George,40.50216,-73.81602,Private room,20.0,30,21,2023-06-15,0.46,9,213
549,Listing 549,3108,Host186,Manhattan,Chelsea,40.59453,-74.01575,Entire home/apt,218.37,2,21,2023-06-15,0.07,5,79
550,Listing 550,5568,Host159,Manhattan,SoHo,40.55706,-73.87182,Entire home/apt,241.34,5,18,2023-06-15,0.16,3,360
551,Listing 551,8714,Host132,Brooklyn,Williamsburg,40.56487,-73.70528,Private room,90.63,1,22,2023-06-15,1.51,7,57
552,Listing 552,9080,Host168,Manhattan,Upper West Side,40.64928,-73.87736,Entire home/apt,251.73,2,22,2023-06-15,0.13,9,336
553,Listing 553,4026,Host493,Manhattan,SoHo,40.70074,-73.77772,Entire home/apt,266.88,5,21,2023-06-15,0.4,1,253
554,Listing 554,3666,Host464,Brooklyn,Bedford-Stuyvesant,40.565,-73.73674,Entire home/apt,124.36,3,16,2023-06-15,1.41,7,53
555,Listing 555,5311,Host183,Brooklyn,Williamsburg,40.52847,-74.01867,Private room,50.39,2,18,2023-06-15,0.44,4,337
556,Listing 556,1671,Host266,Queens,Long Island City,40.7465,-73.89465,Entire home/apt,267.48,1,22,2023-06-15,0.97,1,107
557,Listing 557,1500,Host186,Manhattan,SoHo,40.58415,-74.04193,Private room,95.98,5,16,2023-06-15,0.39,4,240
558,Listing 558,5482,Host471,Manhattan,SoHo,40.72297,-73.96039,Shared room,108.9,3,14,2023-06-15,0.69,3,293
559,Listing 559,4757,Host433,Brooklyn,Williamsburg,40.83822,-73.83616,Entire home/apt,165.93,1,27,2023-06-15,2.43,7,306
560,Listing 560,7468,Host198,Brooklyn,Williamsburg,40.62339,-74.04298,Entire home/apt,176.87,2,14,2023-06-15,0.01,2,51
561,Listing 561,4041,Host481,Manhattan,Upper West Side,40.82526,-73.71476,Entire home/apt,195.13,5,28,2023-06-15,1.42,7,285
562,Listing 562,1774,Host97,Manhattan,Upper West Side,40.84013,-73.9755,Entire home/apt,267.61,3,21,2023-06-15,0.16,5,293
563,Listing 563,2184,Host289,Brooklyn,Bushwick,40.57437,-73.97147,Private room,117.93,2,20,2023-06-15,0.96,1,233
564,Listing 564,7249,Host179,Queens,Long Island City,40.88364,-73.72412,Private room,58.14,3,23,2023-06-15,2.24,2,198
565,Listing 565,1415,Host448,Manhattan,Harlem,40.78052,-73.77384,Entire home/apt,234.04,1,19,2023-06-15,0.26,2,274
566,Listing 566,2756,Host326,Brooklyn,Bushwick,40.68359,-73.96655,Private room,35.72,7,21,2023-06-15,1.02,8,227
567,Listing 567,5268,Host4,Queens,Astoria,40.71143,-73.76629,Private room,20.0,3,22,2023-06-15,1.53,7,267
568,Listing 568,5261,Host188,Manhattan,Upper West Side,40.51508,-73.92149,Entire home/apt,225.32,2,21,2023-06-15,2.98,4,96
569,Listing 569,5088,Host301,Brooklyn,Williamsburg,40.66698,-73.79426,Private room,145.11,2,12,2023-06-15,2.2,2,176
570,Listing 570,2159,Host387,Manhattan,SoHo,40.59253,-73.7928,Private room,175.75,1,15,2023-06-15,0.45,2,230
571,Listing 571,3484,Host319,Manhattan,Upper West Side,40.85528,-73.75579,Private room,151.84,2,31,2023-06-15,1.35,9,258
572,Listing 572,6559,Host492,Brooklyn,Williamsburg,40.55823,-73.90786,Private room,147.73,1,21,2023-06-15,0.9,3,196
573,Listing 573,5648,Host98,Brooklyn,Park Slope,40.64231,-73.97549,Private room,135.3,3,22,2023-06-15,0.79,4,257
574,Listing 574,2868,Host136,Queens,Flushing,40.80096,-73.78634,Entire home/apt,128.97,3,22,2023-06-15,1.23,7,215
575,Listing 575,9457,Host400,Queens,Astoria,40.66607,-73.78229,Entire home/apt,69.7,1,28,2023-06-15,0.41,1,130
576,Listing 576,8399,Host195,Manhattan,Upper West Side,40.53746,-73.78117,Private room,100.56,3,17,2023-06-15,2.18,9,146
577,Listing 577,5185,Host208,Queens,Long Island City,40.63759,-73.95296,Private room,37.87,30,23,2023-06-15,0.53,4,338
578,Listing 578,4080,Host53,Brooklyn,Bedford-Stuyvesant,40.63068,-73.89699,Entire home/apt,238.48,1,21,2023-06-15,0.19,6,217
579,Listing 579,4367,Host416,Manhattan,Harlem,40.7993,-73.73393,Shared room,110.81,1,13,2023-06-15,3.26,8,85
580,Listing 580,8041,Host336,Manhattan,Upper West Side,40.84984,-73.85265,Entire home/apt,237.74,2,23,2023-06-15,0.21,5,55
581,Listing 581,5979,Host492,Brooklyn,Bedford-Stuyvesant,40.50549,-73.7275,Shared room,20.84,1,19,2023-06-15,2.64,6,169
582,Listing 582,6137,Host70,Brooklyn,Bushwick,40.72379,-74.04491,Shared room,20.0,1,20,2023-06-15,2.2,7,317
583,Listing 583,4574,Host202,Brooklyn,Bushwick,40.63642,-73.76884,Entire home/apt,122.14,5,20,2023-06-15,0.04,9,171
584,Listing 584,6782,Host211,Manhattan,Upper West Side,40.84097,-73.8749,Entire home/apt,184.38,3,18,2023-06-15,3.71,3,346
585,Listing 585,8126,Host254,Brooklyn,Park Slope,40.60774,-73.76977,Entire home/apt,186.21,2,22,2023-06-15,0.58,2,43
586,Listing 586,5080,Host371,Queens,Flushing,40.54136,-73.89897,Entire home/apt,157.34,1,20,2023-06-15,3.39,2,225
587,Listing 587,9216,Host432,Brooklyn,Bushwick,40.58019,-73.90529,Private room,87.1,1,26,2023-06-15,0.73,5,85
588,Listing 588,4688,Host318,Brooklyn,Williamsburg,40.59463,-73.7945,Entire home/apt,116.97,1,22,2023-06-15,0.31,6,143
589,Listing 589,4131,Host296,Manhattan,Harlem,40.70492,-74.00267,Entire home/apt,277.32,2,19,2023-06-15,2.56,7,222
590,Listing 590,1731,Host288,Manhattan,Harlem,40.57317,-73.89948,Private room,91.94,30,17,2023-06-15,1.8,7,40
591,Listing 591,8171,Host244,Manhattan,Harlem,40.6664,-73.78867,Entire home/apt,316.19,1,20,2023-06-15,0.82,3,206
592,Listing 592,5925,Host368,Manhattan,SoHo,40.83021,-73.95367,Entire home/apt,257.3,1,23,2023-06-15,2.72,6,20
593,Listing 593,9107,Host193,Queens,Flushing,40.89684,-74.00438,Entire home/apt,151.5,3,19,2023-06-15,2.55,6,138
594,Listing 594,5656,Host96,Brooklyn,Williamsburg,40.80759,-73.89363,Private room,127.96,2,22,2023-06-15,0.69,6,50
595,Listing 595,9659,Host142,Manhattan,SoHo,40.79127,-73.93655,Private room,149.86,30,14,2023-06-15,7.6,8,150
596,Listing 596,1496,Host440,Brooklyn,Bushwick,40.55635,-73.83127,Private room,117.32,3,28,2023-06-15,3.6,7,153
597,Listing 597,1755,Host423,Brooklyn,Bedford-Stuyvesant,40.68738,-73.84059,Private room,129.37,1,17,2023-06-15,0.65,5,221
598,Listing 598,2145,Host299,Brooklyn,Bushwick,40.86594,-73.92679,Entire home/apt,138.02,2,24,2023-06-15,1.68,8,31
599,Listing 599,2287,Host285,Brooklyn,Bushwick,40.55479,-73.8096,Entire home/apt,149.07,7,21,2023-06-15,3.9,3,335
600,Listing 600,5760,Host158,Manhattan,SoHo,40.6214,-73.92913,Private room,168.39,30,13,2023-06-15,0.08,4,1
601,Listing 601,3722,Host236,Brooklyn,Park Slope,40.77083,-73.77972,Entire home/apt,205.68,2,22,2023-06-15,2.69,7,130
602,Listing 602,5403,Host371,Manhattan,Chelsea,40.66243,-73.76082,Entire home/apt,252.48,1,20,2023-06-15,0.52,2,242
603,Listing 603,7999,Host367,Manhattan,Harlem,40.82476,-73.86328,Private room,151.55,1,19,2023-06-15,2.63,3,32
604,Listing 604,6824,Host456,Manhattan,SoHo,40.7844,-73.89634,Entire home/apt,254.96,1,22,2023-06-15,0.53,8,195
605,Listing 605,3810,Host21,Brooklyn,Bushwick,40.88626,-74.0448,Private room,43.35,2,18,2023-06-15,1.01,2,74
606,Listing 606,5414,Host87,Brooklyn,Bushwick,40.613,-73.85569,Entire home/apt,198.38,3,20,2023-06-15,3.63,1,264
607,Listing 607,4397,Host74,Brooklyn,Williamsburg,40.59188,-73.9661,Private room,113.33,1,16,2023-06-15,0.17,8,258
608,Listing 608,8102,Host321,Manhattan,Harlem,40.59903,-73.76743,Private room,140.65,3,19,2023-06-15,1.18,2,13
609,Listing 609,1065,Host167,Manhattan,Chelsea,40.6251,-73.76062,Shared room,42.18,2,13,2023-06-15,2.19,4,306
610,Listing 610,5541,Host197,Brooklyn,Bedford-Stuyvesant,40.81624,-74.00326,Private room,166.6,1,21,2023-06-15,0.62,3,265
611,Listing 611,5926,Host367,Manhattan,Harlem,40.6009,-73.86302,Private room,121.21,5,24,2023-06-15,1.49,4,69
612,Listing 612,2249,Host473,Brooklyn,Bedford-Stuyvesant,40.66825,-73.88167,Private room,70.17,1,18,2023-06-15,1.39,3,348
613,Listing 613,3939,Host441,Manhattan,Upper West Side,40.61526,-73.9674,Private room,109.99,3,9,2023-06-15,0.01,9,234
614,Listing 614,2291,Host417,Manhattan,Harlem,40.70942,-73.97835,Entire home/apt,205.0,1,18,2023-06-15,0.17,2,292
615,Listing 615,7044,Host416,Manhattan,Chelsea,40.73088,-74.02694,Entire home/apt,279.63,1,19,2023-06-15,0.57,5,345
616,Listing 616,6153,Host359,Manhattan,Upper West Side,40.56306,-73.9891,Private room,87.82,3,18,2023-06-15,0.99,5,297
617,Listing 617,2257,Host59,Bronx,Fordham,40.55032,-73.84373,Entire home/apt,118.73,2,16,2023-06-15,1.91,5,58
618,Listing 618,7929,Host227,Bronx,Riverdale,40.78407,-73.81293,Private room,20.0,1,19,2023-06-15,1.33,5,292
619,Listing 619,2757,Host274,Brooklyn,Park Slope,40.5817,-73.96348,Entire home/apt,193.1,30,13,2023-06-15,0.17,8,127
620,Listing 620,5747,Host176,Manhattan,Chelsea,40.5139,-73.93804,Entire home/apt,257.13,2,21,2023-06-15,2.03,4,181
621,Listing 621,9879,Host330,Queens,Long Island City,40.70389,-73.90214,Entire home/apt,147.1,1,18,2023-06-15,2.26,5,19
622,Listing 622,1036,Host253,Brooklyn,Bedford-Stuyvesant,40.83455,-73.75943,Entire home/apt,270.62,7,23,2023-06-15,0.02,9,189
623,Listing 623,7386,Host275,Brooklyn,Park Slope,40.80332,-73.77223,Entire home/apt,227.28,2,28,2023-06-15,0.1,4,279
624,Listing 624,6492,Host339,Manhattan,Chelsea,40.76901,-73.80351,Private room,154.01,2,27,2023-06-15,0.23,5,244
625,Listing 625,1815,Host428,Brooklyn,Bushwick,40.54997,-74.04066,Entire home/apt,136.32,1,26,2023-06-15,1.58,8,326
626,Listing 626,8283,Host329,Manhattan,Harlem,40.69588,-73.7831,Private room,113.67,5,18,2023-06-15,0.76,9,248
627,Listing 627,6032,Host348,Queens,Astoria,40.84519,-73.89291,Entire home/apt,162.69,1,20,2023-06-15,1.12,2,98
628,Listing 628,3274,Host423,Brooklyn,Bushwick,40.66938,-73.86978,Entire home/apt,221.99,1,22,2023-06-15,0.36,6,171
629,Listing 629,8045,Host280,Brooklyn,Williamsburg,40.88369,-73.79952,Private room,105.68,3,23,2023-06-15,0.72,8,303
630,Listing 630,3422,Host45,Bronx,Fordham,40.83851,-73.92527,Entire home/apt,59.39,5,25,2023-06-15,0.08,6,186
631,Listing 631,3649,Host308,Brooklyn,Park Slope,40.85509,-73.93863,Shared room,87.86,1,23,2023-06-15,0.77,6,122
632,Listing 632,1588,Host160,Queens,Long Island City,40.8486,-74.03937,Private room,101.86,3,10,2023-06-15,0.83,3,227
633,Listing 633,4688,Host348,Manhattan,SoHo,40.66649,-73.98712,Private room,139.22,3,21,2023-06-15,0.15,2,134
634,Listing 634,2480,Host440,Queens,Astoria,40.55664,-73.82501,Private room,63.95,1,31,2023-06-15,3.93,8,181
635,Listing 635,7991,Host115,Queens,Long Island City,40.50611,-73.97295,Shared room,30.65,1,19,2023-06-15,2.48,6,352
636,Listing 636,1076,Host9,Queens,Long Island City,40.66781,-73.93922,Shared room,20.0,1,14,2023-06-15,0.02,4,60
637,Listing 637,7487,Host277,Manhattan,Upper West Side,40.55572,-74.0422,Private room,118.8,5,21,2023-06-15,3.14,6,220
638,Listing 638,6691,Host406,Brooklyn,Bushwick,40.88728,-73.72697,Entire home/apt,197.03,5,19,2023-06-15,0.06,9,276
639,Listing 639,5214,Host469,Bronx,Riverdale,40.76454,-74.01227,Entire home/apt,89.38,2,23,2023-06-15,0.6,5,24
640,Listing 640,5650,Host425,Bronx,Fordham,40.73079,-73.99674,Entire home/apt,40.85,1,23,2023-06-15,2.04,6,285
641,Listing 641,8062,Host396,Queens,Long Island City,40.54621,-73.71072,Entire home/apt,143.74,7,18,2023-06-15,0.22,4,26
642,Listing 642,1318,Host457,Manhattan,Harlem,40.76246,-73.74135,Entire home/apt,255.13,2,20,2023-06-15,2.76,9,219
643,Listing 643,7900,Host338,Manhattan,Chelsea,40.76373,-73.94711,Entire home/apt,208.48,1,15,2023-06-15,0.13,1,62
644,Listing 644,2860,Host15,Manhattan,Chelsea,40.7683,-73.75343,Private room,99.93,1,19,2023-06-15,1.62,5,192
645,Listing 645,6913,Host279,Manhattan,Chelsea,40.82931,-73.74221,Entire home/apt,233.98,2,22,2023-06-15,0.8,4,104
646,Listing 646,2793,Host314,Brooklyn,Williamsburg,40.86115,-73.91193,Entire home/apt,164.84,30,24,2023-06-15,1.24,1,59
647,Listing 647,1095,Host477,Manhattan,Harlem,40.63818,-73.95914,Shared room,123.29,2,19,2023-06-15,2.7,6,127
648,Listing 648,2417,Host475,Staten Island,St. George,40.7426,-73.83851,Private room,77.27,5,19,2023-06-15,0.37,9,97
649,Listing 649,4466,Host44,Manhattan,Upper West Side,40.6651,-73.97028,Entire home/apt,197.59,2,18,2023-06-15,0.92,7,143
650,Listing 650,3322,Host187,Bronx,Riverdale,40.85953,-73.72411,Entire home/apt,118.81,7,22,2023-06-15,0.08,4,310
651,Listing 651,6604,Host87,Manhattan,SoHo,40.5037,-73.76715,Entire home/apt,337.44,1,21,2023-06-15,1.06,4,21
652,Listing 652,3400,Host300,Manhattan,Harlem,40.50979,-73.77325,Private room,134.68,1,17,2023-06-15,0.57,7,235
653,Listing 653,1107,Host165,Bronx,Riverdale,40.86239,-73.74776,Private room,20.0,3,16,2023-06-15,0.85,2,249
654,Listing 654,4046,Host33,Queens,Long Island City,40.51265,-73.95952,Private room,41.06,7,25,2023-06-15,1.45,1,285
655,Listing 655,4259,Host395,Queens,Long Island City,40.57044,-73.78983,Entire home/apt,99.37,1,19,2023-06-15,4.83,2,42
656,Listing 656,1802,Host23,Manhattan,Harlem,40.61286,-73.96836,Entire home/apt,186.22,3,24,2023-06-15,3.22,3,1
657,Listing 657,9823,Host191,Brooklyn,Bedford-Stuyvesant,40.58396,-73.87784,Entire home/apt,152.54,1,22,2023-06-15,2.75,6,256
658,Listing 658,9080,Host47,Manhattan,Harlem,40.60189,-73.95786,Entire home/apt,255.66,2,19,2023-06-15,0.16,5,72
659,Listing 659,1814,Host392,Manhattan,Chelsea,40.50644,-74.00903,Entire home/apt,276.75,1,14,2023-06-15,4.01,6,249
660,Listing 660,8635,Host111,Brooklyn,Bedford-Stuyvesant,40.69344,-73.99476,Entire home/apt,117.56,3,20,2023-06-15,0.19,6,109
661,Listing 661,4270,Host80,Queens,Flushing,40.53483,-74.03722,Entire home/apt,74.93,2,17,2023-06-15,1.71,7,159
662,Listing 662,7213,Host368,Brooklyn,Park Slope,40.88721,-73.80397,Entire home/apt,172.09,1,19,2023-06-15,0.92,8,308
663,Listing 663,1372,Host104,Manhattan,Upper West Side,40.86808,-74.03279,Private room,85.31,2,25,2023-06-15,2.51,4,4
664,Listing 664,5756,Host266,Bronx,Riverdale,40.86805,-73.8854,Shared room,74.8,1,23,2023-06-15,0.16,7,18
665,Listing 665,5839,Host46,Brooklyn,Bushwick,40.74625,-74.04554,Private room,151.47,3,19,2023-06-15,1.26,7,332
666,Listing 666,5666,Host203,Manhattan,Chelsea,40.53795,-73.93345,Entire home/apt,234.98,1,16,2023-06-15,0.7,1,96
667,Listing 667,9609,Host475,Manhattan,Upper West Side,40.89219,-73.87715,Entire home/apt,156.7,1,14,2023-06-15,1.04,7,20
668,Listing 668,2786,Host388,Bronx,Fordham,40.80217,-73.83765,Entire home/apt,36.36,2,22,2023-06-15,0.97,2,257
669,Listing 669,1479,Host268,Manhattan,Upper West Side,40.67751,-73.8502,Private room,224.76,2,25,2023-06-15,1.08,7,141
670,Listing 670,7634,Host396,Manhattan,SoHo,40.66835,-73.79551,Entire home/apt,124.96,1,16,2023-06-15,1.91,8,188
671,Listing 671,9674,Host430,Brooklyn,Williamsburg,40.8717,-73.94379,Entire home/apt,77.57,5,16,2023-06-15,0.39,7,279
672,Listing 672,6289,Host86,Queens,Flushing,40.84059,-73.83678,Entire home/apt,92.2,5,17,2023-06-15,0.72,5,88
673,Listing 673,7486,Host433,Brooklyn,Williamsburg,40.77137,-73.8373,Entire home/apt,156.73,1,17,2023-06-15,1.42,6,76
674,Listing 674,7344,Host217,Brooklyn,Bedford-Stuyvesant,40.80946,-73.89053,Entire home/apt,117.36,2,18,2023-06-15,2.17,2,272
675,Listing 675,3366,Host332,Brooklyn,Williamsburg,40.88071,-73.77323,Entire home/apt,156.64,1,21,2023-06-15,0.05,1,120
676,Listing 676,1496,Host20,Queens,Flushing,40.56464,-74.00858,Entire home/apt,39.32,3,28,2023-06-15,1.29,1,268
677,Listing 677,8730,Host476,Manhattan,Chelsea,40.694,-73.94305,Entire home/apt,183.68,2,18,2023-06-15,0.15,7,111
678,Listing 678,7553,Host246,Brooklyn,Bushwick,40.72414,-74.04239,Entire home/apt,204.17,2,18,2023-06-15,1.45,1,223
679,Listing 679,8989,Host26,Manhattan,Harlem,40.70697,-73.89868,Shared room,69.07,30,28,2023-06-15,0.14,6,167
680,Listing 680,9031,Host358,Brooklyn,Williamsburg,40.78445,-73.94653,Entire home/apt,102.9,2,29,2023-06-15,1.62,8,325
681,Listing 681,9400,Host475,Manhattan,Harlem,40.70581,-74.01259,Private room,173.74,3,25,2023-06-15,0.89,1,140
